Date,Start Time,End Time,Duration,type of participation,attitude,Contribute in Slack?,Duration_minutes
5/7/18,17:30,18:30,1:00,C,5,,60
5/8/18,12:20,13:45,1:25,P,4,Yes,85
5/8/18,14:00,15:00,1:00,C,4,,60
5/8/18,15:00,15:25,0:25,P,5,,25
5/9/18,8:40,9:50,1:10,T,4,Yes,70
5/9/18,10:35,12:15,1:40,P,4,Yes,100
5/9/18,12:20,12:30,0:10,C,4,,10
5/9/18,13:30,14:30,1:00,C,4,,60
5/10/18,6:45,7:45,1:00,T,5,Yes,60
5/10/18,11:30,12:00,0:30,P,4,,30
5/10/18,16:30,17:18,0:48,C,5,,48
5/14/18,7:00,9:00,2:00,T,5,Yes,120
5/14/18,11:20,12:20,1:00,C,5,,60
5/14/18,13:00,15:15,2:15,C,4,,135
5/15/18,7:20,8:40,1:20,T,4,Yes,80
5/15/18,9:20,9:35,0:15,C,4,,15
5/15/18,10:30,11:40,1:10,C,4,,70
5/15/18,11:45,12:10,0:25,P,4,Yes,25
5/15/18,16:25,17:10,0:45,C,5,,45
5/16/18,7:30,8:30,1:00,P,3,Yes,60
5/16/18,9:30,10:15,0:45,P,3,,45
5/16/18,12:20,13:40,1:20,C,4,,80
5/17/18,10:45,10:55,0:10,P,3,,10
5/17/18,11:05,12:05,1:00,C,3,,60
5/18/18,10:30,11:30,1:00,C,4,,60
5/18/18,10:15,10:30,0:15,P,4,Yes,15
5/19/18,11:30,12:00,0:30,P,3,,30
5/19/18,12:00,14:15,2:15,S,3,Yes,135
5/20/18,7:00,7:30,0:30,P,3,Yes,30
5/20/18,8:00,10:30,2:30,S,3,Yes,150
5/21/18,8:00,9:00,1:00,P,3,,60
5/21/18,14:20,14:40,0:20,P,3,Yes,20
5/21/18,15:00,16:00,1:00,C,5,,60
5/21/18,16:00,16:30,0:30,C,3,,30
5/22/18,8:30,10:00,1:30,T,4,Yes,90
5/22/18,12:50,14:10,1:20,C,3,,80
5/23/18,8:00,9:00,1:00,P,3,Yes,60
5/23/18,10:30,12:00,1:30,C,3,,90
5/23/18,13:00,14:00,1:00,T,3,,60
5/23/18,14:40,15:00,0:20,T,3,,20
5/23/18,8:30,11:30,3:00,T,3,,180
5/23/18,13:00,15:00,2:00,T,3,,120
5/24/18,9:00,10:00,1:00,P,3,,60
5/25/18,8:45,9:45,1:00,P,3,Yes,60
5/25/18,9:45,11:40,1:55,C,3,,115
5/25/18,20:40,21:00,0:20,C,3,,20
5/29/18,8:00,8:30,0:30,P,3,,30
5/29/18,10:00,10:35,0:35,C,4,,35
5/29/18,12:00,12:40,0:40,C,4,,40
5/29/18,15:00,15:45,0:45,C,4,,45
5/30/18,9:00,10:20,1:20,P,3,Yes,80
5/30/18,10:45,12:00,1:15,C,3,,75
5/30/18,14:00,15:00,1:00,P,3,,60
5/31/18,7:30,8:30,1:00,P,3,Yes,60
5/31/18,8:45,10:00,1:15,C,4,,75
5/31/18,10:30,12:30,2:00,C,4,,120
6/2/18,11:00,13:00,2:00,S,4,Yes,120
6/4/18,15:15,16:15,1:00,C,4,,60
6/5/18,7:50,8:00,0:10,P,3,Yes,10
6/5/18,8:00,8:30,0:30,C,3,,30
6/6/18,10:00,11:10,1:10,C,3,,70
6/7/18,8:35,10:20,1:45,C,3,,105
6/8/18,9:00,10:05,1:05,S,3,,65
6/8/18,10:15,14:25,4:10,S,3,,250
6/8/18,18:30,22:00,3:30,S,3,,210
6/9/18,10:30,13:15,2:45,S,3,,165
6/11/18,9:10,10:20,1:10,C,3,,70
6/13/18,14:15,16:42,2:27,C,4,,147
6/14/18,7:05,7:30,0:25,C,4,,25
6/14/18,8:10,9:20,1:10,C,4,,70
6/14/18,13:25,15:00,1:35,T,3,Yes,95
6/14/18,16:00,17:00,1:00,P,3,Yes,60
6/15/18,7:00,8:00,1:00,P,3,Yes,60
6/15/18,11:15,12:15,1:00,C,4,,60
6/15/18,15:25,17:00,1:35,C,4,,95
6/17/18,7:45,8:05,0:20,P,3,Yes,20
6/17/18,8:05,9:05,1:00,H,3,,60
6/18/18,8:00,8:40,0:40,P,3,Yes,40
6/18/18,8:55,9:30,0:35,C,4,,35
6/18/18,9:30,9:45,0:15,C,4,,15
6/19/18,7:15,7:40,0:25,P,3,Yes,25
6/19/18,7:40,8:30,0:50,C,4,,50
6/19/18,10:30,11:45,1:15,C,3,,75
6/20/18,11:10,12:00,0:50,C,3,,50
6/20/18,13:00,13:30,0:30,P,3,,30
6/23/18,10:00,13:15,3:15,S,3,Yes,195
6/25/18,10:20,11:05,0:45,C,4,,45
6/26/18,7:00,7:40,0:40,C,3,Yes,40
6/26/18,7:40,8:00,0:20,S,3,,20
6/27/18,6:45,7:00,0:15,C,3,,15
6/27/18,9:15,12:00,2:45,C,3,,165
6/28/18,19:30,20:00,0:30,C,3,,30
6/29/18,9:00,11:30,2:30,C,3,,150
6/29/18,11:30,12:25,0:55,C,3,,55
7/3/18,8:30,14:30,6:00,T,4,Yes,360
7/4/18,8:10,8:50,0:40,C,4,,40
7/5/18,14:40,16:00,1:20,S,3,Yes,80
7/5/18,16:00,16:30,0:30,P,3,Yes,30
7/6/18,16:00,17:00,1:00,T,4,Yes,60
7/9/18,8:00,9:00,1:00,P,3,Yes,60
7/10/18,11:00,12:00,1:00,S,3,,60
7/10/18,12:00,13:30,1:30,R,4,,90
7/11/18,8:00,12:00,4:00,T,5,Yes,240
